iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
0,21061.36626778987,0.0,21061.366267790938,21061.366267790938,"[0.00180442 0.00383221 0.00257362 0.00921654 0.00576348 0.00951579
 0.00753854 0.00051379]"
1,21061.308359831113,0.0,21061.308359821425,21061.308359821425,"[0.00139821 0.00319492 0.00257364 0.00921655 0.00576349 0.00951579
 0.00753854 0.00051379]"
2,21061.25150628782,0.0,21061.251506280405,21061.251506280405,"[0.00099304 0.00256516 0.00257366 0.00921656 0.0057635  0.0095158
 0.00753855 0.00051379]"
3,21061.195683910446,0.0,21061.195683908754,21061.195683908754,"[0.0005889  0.00194282 0.00257367 0.00921657 0.0057635  0.0095158
 0.00753855 0.0005138 ]"
4,21061.140870264688,7.16655044615291e-05,21132.806374723885,21061.140870262356,"[0.00112628 0.0005153  0.0026424  0.00928529 0.00583222 0.00958452
 0.00760727 0.00058251]"
5,21061.076260205202,0.0,21061.07626020307,21061.07626020307,"[ 7.17911101e-04 -8.03635356e-05  2.64241248e-03  9.28529646e-03
  5.83222778e-03  9.58452306e-03  7.60727528e-03  5.82516872e-04]"
6,21061.024332792615,0.0,21061.024332789457,21061.024332789457,"[ 0.00031066 -0.00066905  0.00264243  0.00928531  0.00583223  0.00958453
  0.00760728  0.00058252]"
7,21060.97331804102,0.0,21060.973318036617,21060.973318036617,"[-9.54737482e-05 -1.25084060e-03  2.64244698e-03  9.28531405e-03
  5.83223977e-03  9.58453233e-03  7.60728410e-03  5.82523427e-04]"
8,21060.923196299926,0.0,21060.923196305703,21060.923196305703,"[-0.00050048 -0.00182583  0.00264246  0.00928532  0.00583225  0.00958454
  0.00760729  0.00058253]"
9,21060.87394839593,0.0,21060.87394840178,21060.87394840178,"[-0.00090435 -0.0023941   0.00264248  0.00928533  0.00583225  0.00958454
  0.00760729  0.00058253]"
10,21060.825556996955,0.00017027553109114963,21231.10108809171,21060.82555700056,"[ 0.00092737 -0.00488465  0.0028058   0.00944866  0.00599558  0.00974787
  0.00777062  0.00074586]"
11,21060.765109728913,0.0,21060.765109730626,21060.765109730626,"[ 0.00051074 -0.00541102  0.00280582  0.00944866  0.00599558  0.00974787
  0.00777063  0.00074586]"
12,21060.720231446983,0.0,21060.72023143841,21060.72023143841,"[ 9.53919664e-05 -5.93132522e-03  2.80583261e-03  9.44867367e-03
  5.99559087e-03  9.74787944e-03  7.77063051e-03  7.45866647e-04]"
13,21060.67609094219,0.0,21060.676090948014,21060.676090948014,"[-0.00031867 -0.00644564  0.00280585  0.00944868  0.0059956   0.00974788
  0.00777063  0.00074587]"
14,21060.63267308589,0.0,21060.632673080032,21060.632673080032,"[-0.00073145 -0.00695403  0.00280587  0.00944869  0.0059956   0.00974789
  0.00777064  0.00074587]"
15,21060.589963107315,0.0,21060.589963106024,21060.589963106024,"[-0.00114294 -0.00745658  0.00280588  0.0094487   0.00599561  0.00974789
  0.00777064  0.00074588]"
16,21060.54794658441,0.0,21060.547946578696,21060.547946578696,"[-0.00155313 -0.00795337  0.0028059   0.00944871  0.00599561  0.0097479
  0.00777065  0.00074588]"
17,21060.506609434942,0.0,21060.506609442575,21060.506609442575,"[-0.00196203 -0.00844445  0.00280592  0.00944872  0.00599562  0.0097479
  0.00777065  0.00074588]"
18,21060.46593790791,0.0,21060.465937911977,21060.465937911977,"[-0.00236962 -0.00892992  0.00280593  0.00944873  0.00599563  0.00974791
  0.00777066  0.00074589]"
19,21060.425918575173,0.0,21060.425918571906,21060.425918571906,"[-0.00277592 -0.00940982  0.00280595  0.00944873  0.00599563  0.00974791
  0.00777066  0.00074589]"
20,21060.38653832327,0.0,21060.38653831537,21060.38653831537,"[-0.0031809  -0.00988425  0.00280597  0.00944874  0.00599564  0.00974792
  0.00777067  0.00074589]"
21,21060.347784345413,0.0,21060.3477843388,21060.3477843388,"[-0.00358458 -0.01035325  0.00280599  0.00944875  0.00599564  0.00974792
  0.00777067  0.0007459 ]"
