iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
0,4915.212214005456,0.0,4915.212214005206,4915.212214005206,[0.00314646 0.00977222 0.00773177 0.0092552  0.00341588]
1,4915.208798031438,0.0,4915.208798031514,4915.208798031514,[0.00307393 0.00976255 0.00770979 0.00909082 0.00338036]
2,4915.2053873690365,0.0,4915.2053873692,4915.2053873692,[0.00300147 0.00975287 0.00768782 0.00892657 0.00334485]
3,4915.201982009132,0.0,4915.201982008771,4915.201982008771,[0.0029291  0.00974321 0.00766587 0.00876243 0.00330936]
4,4915.19858194262,0.0,4915.198581942121,4915.198581942121,[0.0028568  0.00973354 0.00764392 0.00859842 0.00327388]
5,4915.195187160407,0.0,4915.19518716044,4915.19518716044,[0.00278459 0.00972388 0.00762199 0.00843452 0.00323843]
6,4915.191797653431,0.0,4915.191797653469,4915.191797653469,[0.00271246 0.00971423 0.00760006 0.00827074 0.00320299]
7,4915.188413412634,0.0,4915.188413412642,4915.188413412642,[0.0026404  0.00970457 0.00757815 0.00810709 0.00316757]
8,4915.185034428974,0.0,4915.185034428979,4915.185034428979,[0.00256843 0.00969493 0.00755624 0.00794355 0.00313216]
9,4915.181660693437,0.0,4915.181660693878,4915.181660693878,[0.00249654 0.00968529 0.00753435 0.00778014 0.00309677]
10,4915.17829219702,0.0,4915.17829219725,4915.17829219725,[0.00242473 0.00967565 0.00751246 0.00761684 0.0030614 ]
11,4915.1749289307345,0.0,4915.174928930592,4915.174928930592,[0.002353   0.00966601 0.00749059 0.00745366 0.00302605]
12,4915.171570885608,0.0,4915.171570885227,4915.171570885227,[0.00228135 0.00965638 0.00746873 0.0072906  0.00299071]
13,4915.168218052697,0.0,4915.168218052636,4915.168218052636,[0.00220978 0.00964676 0.00744687 0.00712766 0.00295539]
14,4915.164870423054,0.0,4915.164870422803,4915.164870422803,[0.00213829 0.00963714 0.00742503 0.00696484 0.00292009]
