iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
0,3822.8165112112733,0.0,3822.81651121103,3822.81651121103,[0.00938192 0.00092933 0.01013829]
1,3822.7967984649663,0.0,3822.796798464755,3822.796798464755,[0.00932032 0.00132188 0.01033312]
2,3822.777256303122,0.0,3822.7772563033623,3822.7772563033623,[0.00925886 0.00171292 0.01052665]
3,3822.7578831805586,0.0,3822.7578831805645,3822.7578831805645,[0.00919754 0.00210248 0.01071889]
4,3822.7386775664468,0.0,3822.7386775666255,3822.7386775666255,[0.00913636 0.00249056 0.01090985]
5,3822.719637944171,0.0,3822.719637943959,3822.719637943959,[0.00907532 0.00287716 0.01109952]
6,3822.7007628111696,0.0,3822.7007628113743,3822.7007628113743,[0.00901442 0.00326229 0.01128792]
7,3822.68205067885,0.0,3822.6820506785516,3822.6820506785516,[0.00895366 0.00364595 0.01147506]
8,3822.66350007241,0.0,3822.6635000722554,3822.6635000722554,[0.00889305 0.00402815 0.01166094]
9,3822.645109530733,0.0,3822.6451095309503,3822.6451095309503,[0.00883257 0.00440889 0.01184558]
10,3822.626877606266,0.0,3822.626877606012,3822.626877606012,[0.00877223 0.00478819 0.01202897]
11,3822.608802864863,0.0,3822.6088028648824,3822.6088028648824,[0.00871203 0.00516604 0.01221112]
12,3822.5908838856867,0.0,3822.590883885403,3822.590883885403,[0.00865196 0.00554246 0.01239205]
13,3822.5731192610647,0.0,3822.5731192611524,3822.5731192611524,[0.00859204 0.00591744 0.01257175]
14,3822.5555075963857,0.0,3822.555507596164,3822.555507596164,[0.00853225 0.006291   0.01275024]
15,3822.5380475099573,0.0,3822.5380475100274,3822.5380475100274,[0.0084726  0.00666314 0.01292752]
16,3822.5207376328844,0.0,3822.520737632753,3822.520737632753,[0.00841309 0.00703386 0.0131036 ]
17,3822.5035766089754,0.0,3822.503576608659,3822.503576608659,[0.00835371 0.00740317 0.01327849]
18,3822.4865630945824,0.0,3822.4865630945947,3822.4865630945947,[0.00829447 0.00777108 0.01345219]
19,3822.469695758517,0.0,3822.46969575876,3822.46969575876,[0.00823536 0.00813759 0.01362471]
20,3822.4529732819196,0.0,3822.4529732818505,3822.4529732818505,[0.00817639 0.0085027  0.01379606]
21,3822.436394358146,0.0,3822.4363943579956,3822.4363943579956,[0.00811756 0.00886643 0.01396624]
22,3822.4199576926444,0.0,3822.4199576923356,3822.4199576923356,[0.00805886 0.00922878 0.01413526]
23,3822.4036620028573,0.0,3822.40366200259,3822.40366200259,[0.00800029 0.00958974 0.01430312]
24,3822.387506018095,0.0,3822.3875060184114,3822.3875060184114,[0.00794185 0.00994934 0.01446984]
25,3822.371488479431,0.0,3822.371488479257,3822.371488479257,[0.00788355 0.01030757 0.01463542]
26,3822.3556081395973,0.0,3822.355608139545,3822.355608139545,[0.00782539 0.01066444 0.01479987]
27,3822.339863762856,0.0,3822.3398637629643,3822.3398637629643,[0.00776735 0.01101996 0.01496319]
28,3822.3242541249065,0.0,3822.324254125211,3822.324254125211,[0.00770945 0.01137412 0.01512538]
29,3822.308778012786,0.0,3822.308778012999,3822.308778012999,[0.00765168 0.01172694 0.01528647]
30,3822.293434224739,0.0,3822.293434224894,3822.293434224894,[0.00759404 0.01207842 0.01544644]
31,3822.278221570135,0.0,3822.278221570121,3822.278221570121,[0.00753653 0.01242857 0.01560532]
32,3822.2631388693458,0.0,3822.263138869457,3822.263138869457,[0.00747915 0.01277738 0.0157631 ]
33,3822.2481849536525,0.0,3822.2481849539204,3822.2481849539204,[0.0074219  0.01312488 0.01591979]
34,3822.2333586651566,0.0,3822.2333586649825,3822.2333586649825,[0.00736478 0.01347105 0.01607539]
35,3822.218658856631,0.0,3822.218658856813,3822.218658856813,[0.00730779 0.01381591 0.01622992]
36,3822.2040843914947,0.0,3822.20408439127,3822.20408439127,[0.00725093 0.01415946 0.01638339]
37,3822.189634143639,0.0,3822.1896341433617,3822.1896341433617,[0.0071942  0.01450171 0.01653578]
38,3822.1753069973734,0.0,3822.1753069976853,3822.1753069976853,[0.0071376  0.01484266 0.01668712]
39,3822.161101847317,0.0,3822.161101847081,3822.161101847081,[0.00708113 0.01518232 0.01683741]
40,3822.1470175983004,0.0,3822.1470175980476,3822.1470175980476,[0.00702478 0.01552069 0.01698665]
41,3822.1330531652684,0.0,3822.133053165596,3822.133053165596,[0.00696856 0.01585778 0.01713485]
42,3822.119207473189,0.0,3822.1192074734863,3822.1192074734863,[0.00691247 0.01619359 0.01728202]
43,3822.10547945696,0.0,3822.1054794572224,3822.1054794572224,[0.00685651 0.01652813 0.01742816]
44,3822.0918680613145,0.0,3822.091868061091,3822.091868061091,[0.00680067 0.0168614  0.01757328]
45,3822.0783722407205,0.0,3822.07837224046,3822.07837224046,[0.00674496 0.0171934  0.01771738]
46,3822.064990959312,0.0,3822.0649909589083,3822.0649909589083,[0.00668937 0.01752415 0.01786048]
47,3822.0517231907725,0.0,3822.0517231904805,3822.0517231904805,[0.00663391 0.01785365 0.01800256]
48,3822.0385679182664,0.0,3822.0385679184565,3822.0385679184565,[0.00657857 0.0181819  0.01814365]
49,3822.025524134333,0.0,3822.025524134134,3822.025524134134,[0.00652336 0.0185089  0.01828375]
50,3822.0125908408154,0.0,3822.0125908407526,3822.0125908407526,[0.00646827 0.01883467 0.01842286]
