iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
0,4878.78742616988,0.0,4878.787426169868,4878.787426169868,[0.00027894 0.00174887 0.01093982]
1,4878.359562579628,0.0,4878.359562579875,4878.359562579875,[0.00016024 0.00341729 0.01213288]
2,4877.939343548911,0.0,4877.939343548932,4877.939343548932,[4.18611616e-05 5.07116217e-03 1.33145938e-02]
3,4877.526625593508,0.0,4877.52662559352,4877.52662559352,[-7.62093881e-05  6.71063324e-03  1.44850618e-02]
4,4877.1212680995095,0.0,4877.1212680995095,4877.1212680995095,[-0.00019397  0.00833584  0.0156444 ]
5,4876.723133261057,0.0,4876.723133260617,4876.723133260617,[-0.00031142  0.00994692  0.01679272]
6,4876.332086019584,0.0,4876.332086019312,4876.332086019312,[-0.00042855  0.01154402  0.01793013]
7,4875.947994004528,0.0,4875.947994004207,4875.947994004207,[-0.00054538  0.01312726  0.01905675]
8,4875.570727475392,0.0,4875.570727475237,4875.570727475237,[-0.0006619   0.01469679  0.02017267]
9,4875.200159265236,0.0,4875.200159265157,4875.200159265157,[-0.00077811  0.01625273  0.02127801]
10,4874.836164725476,0.0,4874.836164725377,4874.836164725377,[-0.00089402  0.01779521  0.02237287]
11,4874.478621671976,0.0,4874.478621671517,4874.478621671517,[-0.00100962  0.01932436  0.02345736]
12,4874.127410332425,0.0,4874.1274103324595,4874.1274103324595,[-0.00112492  0.02084032  0.02453158]
13,4873.782413294946,0.0,4873.7824132949045,4873.7824132949045,[-0.00123991  0.0223432   0.02559563]
14,4873.443515457892,0.0,4873.443515457604,4873.443515457604,[-0.0013546   0.02383314  0.02664961]
15,4873.110604829145,0.0002397880039985015,4890.375341117213,4873.11060482932,[-0.00124606  0.02525257  0.02776858]
16,4872.7868136952,0.00017293241673070267,4885.237947699793,4872.786813695183,[-0.00119973  0.02667567  0.02885617]
17,4872.467902013124,0.00021001883491729954,4887.589258127435,4872.467902013389,[-0.0011189   0.0280774   0.02994507]
18,4872.155181821674,0.0001892141999330346,4885.778604216924,4872.155181821745,[-0.00105742  0.02947192  0.03101727]
19,4871.847747396432,0.00020063387834938062,4886.293386637316,4871.84774739616,[-0.00098532  0.03085153  0.03208293]
20,4871.545945459915,0.0001941113108644768,4885.521959842224,4871.545945459981,[-0.00091929  0.0322207   0.03313656]
21,4871.249421001608,0.00019756660095552984,4885.474216270726,4871.249421001928,[-0.00085004  0.03357712  0.03418136]
22,4870.958216865047,0.00019546512725405162,4885.03170602783,4870.958216865539,[-0.00078275  0.03492226  0.0352157 ]
23,4870.672155320772,0.00019644826344191076,4884.81643028873,4870.672155320913,[-0.00071454  0.03625547  0.03624065]
24,4870.391185556867,0.00019571055102255135,4884.482345230687,4870.391185557063,[-0.00064702  0.0375773   0.03725575]
