Wrong Inference Percentage,ULTR_1,ULTR_2,ULTR_3,FLTR_1,FLTR_2,FLTR_3,ULTR + PostF_1,ULTR + PostF_2,ULTR + PostF_3,ULTRH + PostF_1,ULTRH + PostF_2,ULTRH + PostF_3,LTR + PostF_1,LTR + PostF_2,LTR + PostF_3
0,0.869,0.869,0.869,0.931,0.931,0.931,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
10,0.881,0.879,0.872,0.898,0.906,0.922,0.98,0.98,0.98,0.908,0.932,0.943,0.908,0.932,0.943
20,0.894,0.888,0.874,0.867,0.879,0.914,0.98,0.98,0.98,0.889,0.893,0.921,0.889,0.893,0.921
30,0.898,0.889,0.876,0.858,0.875,0.906,0.98,0.98,0.98,0.891,0.889,0.909,0.891,0.889,0.909
40,0.901,0.889,0.879,0.853,0.875,0.899,0.98,0.98,0.98,0.888,0.889,0.91,0.888,0.889,0.91
50,0.904,0.889,0.882,0.848,0.875,0.892,0.98,0.98,0.98,0.895,0.889,0.901,0.895,0.889,0.901
60,0.907,0.889,0.884,0.844,0.875,0.886,0.98,0.98,0.98,0.901,0.889,0.897,0.901,0.889,0.897
70,0.91,0.889,0.887,0.84,0.875,0.88,0.98,0.98,0.98,0.932,0.889,0.89,0.932,0.889,0.89
80,0.913,0.889,0.889,0.836,0.875,0.875,0.98,0.98,0.98,0.98,0.889,0.889,0.98,0.889,0.889
90,0.913,0.889,0.889,0.836,0.875,0.875,0.98,0.98,0.98,0.98,0.889,0.889,0.98,0.889,0.889
100,0.913,0.889,0.889,0.836,0.875,0.875,0.98,0.98,0.98,0.98,0.889,0.889,0.98,0.889,0.889
